dc_id,region,ship_date,transit_q50,transit_q90
CD-GO,S,2026-10-05,5,5
CD-GO,CO,2026-10-05,1,3
CD-GO,NE,2026-10-05,5,7
CD-GO,N,2026-10-05,3,7
CD-PE,SE,2026-10-05,6,6
CD-PE,S,2026-10-05,8,8
CD-PE,CO,2026-10-05,5,6
CD-PE,NE,2026-10-05,2,4
CD-PE,N,2026-10-05,4,8
CD-SP,SE,2026-10-06,2,2
CD-SP,S,2026-10-06,3,3
CD-SP,CO,2026-10-06,4,5
CD-SP,NE,2026-10-06,6,7
CD-SP,N,2026-10-06,8,11
CD-PR,SE,2026-10-06,3,3
CD-PR,S,2026-10-06,1,2
CD-PR,CO,2026-10-06,5,6
CD-PR,NE,2026-10-06,8,10
CD-PR,N,2026-10-06,10,14
CD-GO,SE,2026-10-06,3,3
CD-GO,S,2026-10-06,5,5
CD-GO,CO,2026-10-06,1,3
CD-GO,NE,2026-10-06,5,7
CD-GO,N,2026-10-06,3,7
CD-PE,SE,2026-10-06,6,6
CD-PE,S,2026-10-06,8,8
CD-PE,CO,2026-10-06,5,6
CD-PE,NE,2026-10-06,2,4
CD-PE,N,2026-10-06,4,8
